,word,transcription
0,a,'eɪ
1,about,ə'baʊt
2,above,ə'bʌv
3,across,ə'krɒs
4,act,'ækt
5,active,'æktɪv
6,activity,æk'tɪvətɪ
7,add,'æd
8,afraid,ə'freɪd
9,after,'ɑ:ftə
10,again,ə'gen
11,age,'eɪdʒ
12,ago,ə'gəʊ
13,agree,ə'gri:
14,air,'eə
15,all,'ɔ:l
16,alone,ə'ləʊn
17,along,ə'lɒŋ
18,already,ɔ:l'redɪ
19,always,'ɔ:lweɪz
20,am,æm
21,amount,ə'maʊnt
22,an,'æn
23,and,'ænd
24,angry,'æŋgrɪ
25,another,ə'nʌðə
26,answer,'ɑ:nsə
27,any,'enɪ
28,anyone,'enɪwʌn
29,anything,'enɪθɪŋ
30,appear,ə'pɪə
31,apple,'æpəl
32,are,'ɑ:
33,area,'eərɪə
34,arm,'ɑ:m
35,army,'ɑ:mɪ
36,around,ə'raʊnd
37,arrive,ə'raɪv
38,art,ɑ:t
39,as,'æz
40,ask,'ɑ:sk
41,at,'æt
42,attack,ə'tæk
43,aunt,'ɑ:nt
44,autumn,'ɔ:təm
45,away,ə'weɪ
46,baby,'beɪbɪ
47,base,'beɪs
48,back,'bæk
49,bad,'bæd
50,bag,'bæg
51,ball,'bɔ:l
52,bank,'bæŋk
53,basket,'bɑ:skɪt
54,bath,'bɑ:θ
55,be,'bi:
56,bear,'beə
57,beautiful,'bju:təfʊl
58,beer,'bɪə
59,bed,'bed
60,bedroom,'bedrʊm
61,behave,bɪ'heɪv
62,before,bɪ'fɔ:
63,begin,bɪ'gɪn
64,behind,bɪ'haɪnd
65,bell,'bel
66,below,bɪ'ləʊ
67,besides,bɪ'saɪdz
68,best,'best
69,better,'betə
70,between,bɪ'twi:n
71,big,'bɪg
72,bird,'bɜ:d
73,birth,'bɜ:θ
74,birthday,'bɜ:θdeɪ
75,bit,'bɪt
76,bite,'baɪt
77,black,'blæk
78,block,'blɒk
79,blood,'blʌd
80,blow,'bləʊ
81,blue,'blu:
82,board,'bɔ:d
83,boat,'bəʊt
84,body,'bɒdɪ
85,boil,'bɔɪl
86,bone,'bəʊn
87,book,'bʊk
88,border,'bɔ:də
89,born,'bɔ:n
90,borrow,'bɒrəʊ
91,both,'bəʊθ
92,bottle,'bɒtəl
93,bottom,'bɒtəm
94,bowl,'bəʊl
95,box,'bɒks
96,boy,'bɔɪ
97,branch,'brɑ:ntʃ
98,brave,'breɪv
99,bread,'bred
100,break,'breɪk
101,breakfast,'brekfəst
102,breathe,'bri:ð
103,bridge,'brɪdʒ
104,bright,'braɪt
105,bring,'brɪŋ
106,brother,'brʌðə
107,brown,'braʊn
108,brush,'brʌʃ
109,build,'bɪld
110,burn,'bɜ:n
111,business,'bɪznəs
112,bus,'bʌs
113,busy,'bɪzɪ
114,but,'bʌt
115,buy,'baɪ
116,by,'baɪ
117,cake,'keɪk
118,call,'kɔ:l
119,can,'kæn
120,candle,'kændəl
121,cap,'kæp
122,car,'kɑ:
123,card,'kɑ:d
124,care,'keə
125,careful,'keəfʊl
126,carry,'kærɪ
127,case,'keɪs
128,cat,'kæt
129,catch,'kætʃ
130,central,'sentrəl
131,century,'sentʃərɪ
132,certain,'sɜ:tən
133,chair,'tʃeə
134,chance,'tʃɑ:ns
135,change,'tʃeɪndʒ
136,chase,'tʃeɪs
137,cheap,'tʃi:p
138,cheese,'tʃi:z
139,chicken,'tʃɪkɪn
140,child,'tʃaɪld
141,children,'tʃɪldrən
142,chocolate,'tʃɒkələt
143,choice,'tʃɔɪs
144,choose,'tʃu:z
145,circle,'sɜ:kəl
146,city,'sɪtɪ
147,class,'klɑ:s
148,clever,'klevə
149,clean,'kli:n
150,clear,'klɪə
151,climb,'klaɪm
152,clock,'klɒk
153,cloth,'klɒθ
154,clothes,'kləʊðz
155,cloud,'klaʊd
156,close,'kləʊs
157,coffee,'kɒfɪ
158,coat,'kəʊt
159,coin,'kɔɪn
160,cold,'kəʊld
161,collect,'kɒlekt
162,colour,'kʌlə
163,come,'kʌm
164,comfortable,'kʌmfətəbəl
165,common,'kɒmən
166,compare,kəm'peə
167,complete,kəm'pli:t
168,computer,kəm'pju:tə
169,condition,kən'dɪʃən
170,continue,kən'tɪnju:
171,control,kən'trəʊl
172,cook,'kʊk
173,cool,'ku:l
174,copper,'kɒpə
175,corn,'kɔ:n
176,corner,'kɔ:nə
177,correct,kə'rekt
178,cost,'kɒst
179,contain,kən'teɪn
180,count,'kaʊnt
181,country,'kʌntrɪ
182,course,'kɔ:s
183,cover,'kʌvə
184,crash,'kræʃ
185,cross,'krɒs
186,cry,'kraɪ
187,cup,'kʌp
188,cupboard,'kʌbəd
189,cut,'kʌt
